year,week,outbreak_starting_date,reporting_date,state,district,disease_illness_name,status,cases,deaths,unit,note
2025,16,2025-04-15,2025-04-15,Andhra Pradesh,Kakinada,Acute Diarrheal Disease,Reported,22,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-15,2025-04-17,Assam,Biswanath,Chickenpox,Reported,1,1,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-19,2025-04-20,Assam,Dhemaji,Food Poisoning,Reported,16,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-19,2025-04-19,Bihar,Gopalganj,Fever with Rash,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-12,2025-04-15,Bihar,Madhubani,Acute Diarrheal Disease,Reported,21,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-15,2025-04-16,Bihar,Patna,Chickenpox,Reported,8,1,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-19,2025-04-19,Bihar,Vaishali,Chickenpox,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-15,2025-04-15,Chhattisgarh,Surguja,Food Poisoning,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-16,2025-04-16,Gujarat,Narmada,Measles,Reported,17,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-18,2025-04-19,Gujarat,Rajkot,Acute Diarrheal Disease,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-16,2025-04-16,Haryana,Kurukshetra,Hepatitis A,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-17,2025-04-17,Haryana,Nuh,Chickenpox,Reported,28,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-18,2025-04-19,Jammu and Kashmir,Baramulla,Hepatitis A,Reported,26,0,"cases in absolute number, deaths in absolute number",
2025,16,2025-04-16,2025-04-16,Jammu and Kashmir,Kulgam,Typhoid,Reported,47,0,"cases in absolute number, deaths in absolute number",
